State,Sex,Age_group,COVID-19_Deaths
Connecticut,Unknown,Under_1_year,0
Connecticut,Unknown,0-17 ,0
Connecticut,Unknown,1-4 ,0
Connecticut,Unknown,5-14 ,0
Connecticut,Unknown,15-24 ,0
Connecticut,Unknown,18-29 ,0
Connecticut,Unknown,25-34 ,0
Connecticut,Unknown,30-49 ,0
Connecticut,Unknown,35-44 ,0
Connecticut,Unknown,45-54 ,0
Connecticut,Unknown,50-64 ,0
Connecticut,Unknown,55-64 ,0
Connecticut,Unknown,65-74 ,0
Connecticut,Unknown,75-84 ,0
Connecticut,Unknown,85 _and_over,0
Connecticut,Unknown,All_Ages,0
Connecticut,All_Sexes,All_Ages,4302
Delaware,Male,Under_1_year,0
Delaware,Male,0-17 ,0
Delaware,Male,1-4 ,0
Delaware,Male,5-14 ,0
Delaware,Male,15-24 ,
Delaware,Male,18-29 ,
Delaware,Male,25-34 ,
Delaware,Male,30-49 ,10
Delaware,Male,35-44 ,
Delaware,Male,45-54 ,10
Delaware,Male,50-64 ,37
Delaware,Male,55-64 ,31
Delaware,Male,65-74 ,75
Delaware,Male,75-84 ,71
Delaware,Male,85 _and_over,65
Delaware,Male,All_Ages,260
Delaware,Female,Under_1_year,0
Delaware,Female,0-17 ,0
Delaware,Female,1-4 ,0
Delaware,Female,5-14 ,0
Delaware,Female,15-24 ,
Delaware,Female,18-29 ,
Delaware,Female,25-34 ,
Delaware,Female,30-49 ,
Delaware,Female,35-44 ,
Delaware,Female,45-54 ,15
Delaware,Female,50-64 ,35
Delaware,Female,55-64 ,23
Delaware,Female,65-74 ,43
Delaware,Female,75-84 ,70
Delaware,Female,85 _and_over,132
Delaware,Female,All_Ages,290
Delaware,Unknown,Under_1_year,0
Delaware,Unknown,0-17 ,0
Delaware,Unknown,1-4 ,0
Delaware,Unknown,5-14 ,0
Delaware,Unknown,15-24 ,0
Delaware,Unknown,18-29 ,0
Delaware,Unknown,25-34 ,0
Delaware,Unknown,30-49 ,0
Delaware,Unknown,35-44 ,0
Delaware,Unknown,45-54 ,0
Delaware,Unknown,50-64 ,0
Delaware,Unknown,55-64 ,0
Delaware,Unknown,65-74 ,0
Delaware,Unknown,75-84 ,0
Delaware,Unknown,85 _and_over,0
Delaware,Unknown,All_Ages,0
Delaware,All_Sexes,All_Ages,550
District_of_Columbia,Male,Under_1_year,
District_of_Columbia,Male,0-17 ,
District_of_Columbia,Male,1-4 ,0
District_of_Columbia,Male,5-14 ,0
District_of_Columbia,Male,15-24 ,0
District_of_Columbia,Male,18-29 ,
District_of_Columbia,Male,25-34 ,
District_of_Columbia,Male,30-49 ,40
District_of_Columbia,Male,35-44 ,21
District_of_Columbia,Male,45-54 ,45
District_of_Columbia,Male,50-64 ,109
