State,Sex,Age_group,COVID-19_Deaths
Delaware,Unknown,35-44_years,0
Delaware,Unknown,45-54_years,0
Delaware,Unknown,50-64_years,0
Delaware,Unknown,55-64_years,0
Delaware,Unknown,65-74_years,0
Delaware,Unknown,75-84_years,0
Delaware,Unknown,85_years_and_over,0
District_of_Columbia,Male,Under_1_year,
District_of_Columbia,Male,0-17_years,
District_of_Columbia,Male,1-4_years,0
District_of_Columbia,Male,5-14_years,0
District_of_Columbia,Male,15-24_years,0
District_of_Columbia,Male,18-29_years,
District_of_Columbia,Male,25-34_years,
District_of_Columbia,Male,30-49_years,40
District_of_Columbia,Male,35-44_years,21
District_of_Columbia,Male,45-54_years,47
District_of_Columbia,Male,50-64_years,112
District_of_Columbia,Male,55-64_years,82
District_of_Columbia,Male,65-74_years,126
District_of_Columbia,Male,75-84_years,89
District_of_Columbia,Male,85_years_and_over,58
District_of_Columbia,Female,Under_1_year,0
District_of_Columbia,Female,0-17_years,0
District_of_Columbia,Female,1-4_years,0
District_of_Columbia,Female,5-14_years,0
District_of_Columbia,Female,15-24_years,
District_of_Columbia,Female,18-29_years,
District_of_Columbia,Female,25-34_years,
District_of_Columbia,Female,30-49_years,14
District_of_Columbia,Female,35-44_years,
District_of_Columbia,Female,45-54_years,21
District_of_Columbia,Female,50-64_years,63
District_of_Columbia,Female,55-64_years,50
District_of_Columbia,Female,65-74_years,70
District_of_Columbia,Female,75-84_years,63
District_of_Columbia,Female,85_years_and_over,87
District_of_Columbia,Unknown,Under_1_year,0
District_of_Columbia,Unknown,0-17_years,0
District_of_Columbia,Unknown,1-4_years,0
District_of_Columbia,Unknown,5-14_years,0
District_of_Columbia,Unknown,15-24_years,0
District_of_Columbia,Unknown,18-29_years,0
District_of_Columbia,Unknown,25-34_years,0
District_of_Columbia,Unknown,30-49_years,0
District_of_Columbia,Unknown,35-44_years,0
District_of_Columbia,Unknown,45-54_years,0
District_of_Columbia,Unknown,50-64_years,0
District_of_Columbia,Unknown,55-64_years,0
District_of_Columbia,Unknown,65-74_years,0
District_of_Columbia,Unknown,75-84_years,0
District_of_Columbia,Unknown,85_years_and_over,0
Florida,Male,Under_1_year,0
Florida,Male,0-17_years,
Florida,Male,1-4_years,0
Florida,Male,5-14_years,
Florida,Male,15-24_years,18
Florida,Male,18-29_years,30
Florida,Male,25-34_years,43
Florida,Male,30-49_years,295
Florida,Male,35-44_years,136
Florida,Male,45-54_years,332
Florida,Male,50-64_years,1052
Florida,Male,55-64_years,850
Florida,Male,65-74_years,1506
Florida,Male,75-84_years,1916
Florida,Male,85_years_and_over,1650
Florida,Female,Under_1_year,0
Florida,Female,0-17_years,
Florida,Female,1-4_years,0
Florida,Female,5-14_years,
Florida,Female,15-24_years,
Florida,Female,18-29_years,15
Florida,Female,25-34_years,27
Florida,Female,30-49_years,164
Florida,Female,35-44_years,79
Florida,Female,45-54_years,164
Florida,Female,50-64_years,530
Florida,Female,55-64_years,431
Florida,Female,65-74_years,974
Florida,Female,75-84_years,1458
Florida,Female,85_years_and_over,2039
Florida,Unknown,Under_1_year,0
Florida,Unknown,0-17_years,0
Florida,Unknown,1-4_years,0
Florida,Unknown,5-14_years,0
Florida,Unknown,15-24_years,0
Florida,Unknown,18-29_years,0
Florida,Unknown,25-34_years,0
Florida,Unknown,30-49_years,0
Florida,Unknown,35-44_years,0
Florida,Unknown,45-54_years,0
Florida,Unknown,50-64_years,0
Florida,Unknown,55-64_years,0
Florida,Unknown,65-74_years,0
